"time","Y","Ta","S","I"
38,24.96075,11.1,204.333333333333,14.6419622698813
39,25.8298333333333,11.1333333333333,286.166666666667,14.5636459815545
40,26.75415,11.3666666666667,330.833333333333,14.9144100844593
41,26.7588333333333,11.9166666666667,411.5,15.869758455421
42,26.67135,10.4166666666667,208.833333333333,16.7432262999179
43,26.7372833333333,10,132,16.9930058104272
44,26.7704,10.1666666666667,48.3333333333333,16.8054414234023
45,26.4238166666667,9.7,5.83333333333333,16.9297425157372
46,26.1547166666667,9.16666666666667,0,17.5390295326078
47,25.8440666666667,8.86666666666667,0,16.8258225930568
48,25.21625,8.51666666666667,0,15.6264531565272
49,24.83595,8.06666666666667,0,15.6674886624796
50,24.6123,7.63333333333333,0,15.3114206552432
51,24.1679333333333,7.38333333333333,0,15.3947897213103
52,23.76315,7.28333333333333,0,15.1857146805056
53,22.9577666666667,7.33333333333333,0,15.739854167443
54,22.79732,7.41666666666667,0,15.58882399434
55,22.1875333333333,7.11666666666667,13.3333333333333,19.4073402125625
56,23.0406,7.2,115.833333333333,24.2677487000779
57,26.82876,8.06666666666667,264.333333333333,24.7681410292497
58,29.95405,9.15,408.833333333333,24.2267365357888
59,32.07755,10.9,531,24.4684065167459
60,34.0900833333333,12.1166666666667,630.666666666667,24.2978664719213
61,36.2039666666667,12.7166666666667,700,24.1292092600694
62,37.2447833333333,12.3333333333333,733,24.6164615109698
63,37.8404666666667,12.5833333333333,713.166666666667,24.2089329643729
64,38.2700833333333,13.0666666666667,644.333333333333,22.709488821276
65,37.9873666666667,12.7833333333333,539.5,14.386027441967
66,36.24995,12.5666666666667,423,15.2847619368188
67,34.5751166666667,12.0333333333333,287.166666666667,15.6388727083014
68,32.7055333333333,10.9,134.833333333333,16.2675588145681
69,30.75315,9.48333333333333,18.6666666666667,16.1635865235805
70,29.27824,8.25,0,16.9610143874818
71,28.0657,7.18333333333333,0,16.3639115669293
72,26.7533166666667,6.91666666666667,0,15.887101597588
73,25.578,6.2,0,15.8185961614539
74,24.7242333333333,6.01666666666667,0,15.5410338935518
75,23.1778666666667,5.23333333333333,0,15.0917408882891
76,22.2552333333333,4.93333333333333,0,15.5044008923859
77,21.32045,5.6,0,15.6489699145263
78,20.35955,4.88333333333333,0,15.4380956775643
79,20.0913,4.51666666666667,14.3333333333333,20.7134105613527
80,21.4302166666667,5.93333333333333,119.5,24.9980815915335
81,26.6516166666667,7.71666666666667,264.666666666667,25.3627862381258
82,30.3551,9.41666666666667,409.833333333333,24.4452185483267
83,32.96845,10.5666666666667,543,24.5283174375446
84,34.67645,11.8666666666667,653.5,24.4524693240743
85,36.4407166666667,12.35,716.5,24.3581848773223
86,36.6183833333333,12.15,738.833333333333,24.5710939841853
87,37.2399,12.5,721.833333333333,24.1160474128923
88,38.71315,12.5333333333333,659.5,22.8706567296444
89,37.7927166666667,12.3833333333333,564.833333333333,14.582368351869
90,34.8936333333333,12.4,434.166666666667,16.2024597978695
91,32.9295666666667,12,246.666666666667,17.0887412318446
92,31.7145,11.2166666666667,103.833333333333,16.1812658278573
93,30.7758,10.1,16,16.8566217719693
94,30.0711333333333,8.56666666666667,0,16.767499293382
95,28.0428333333333,7.68333333333333,0,16.843686366426
96,26.89145,7.65,0,16.4044937233977
97,26.22475,7.55,0,16.516237553004
98,24.8816666666667,6.38333333333333,0,15.456692396388
99,23.5413666666667,5.68333333333333,0,15.6278116835457
100,22.51625,5.38333333333333,0,16.6886382509939
101,21.8113833333333,4.91666666666667,0,15.7026421575259
102,21.0555666666667,5.21666666666667,0,15.6930995813761
103,20.3705,5.65,19.5,19.4764260291222
104,22.0346333333333,6.68333333333333,134.166666666667,24.2663039741534
105,25.56462,8.28333333333333,285.166666666667,24.058365456993
106,27.8889833333333,10.0666666666667,434.666666666667,23.8025212800134
107,29.8987333333333,10.75,567,24.6692866335655
108,33.7083666666667,11.3833333333333,670.833333333333,25.0353946982178
109,35.7837833333333,11.8333333333333,732.5,24.7528047727782
110,37.3415833333333,12.0166666666667,755.833333333333,24.8799881870343
111,37.9261833333333,12.35,734.5,24.7994437388798
112,38.92385,11.8166666666667,674.833333333333,23.0276288179628
113,37.4199833333333,11.95,570.166666666667,16.9084676334618
114,34.53885,11.9833333333333,442,15.8729177172056
115,32.5060666666667,12,301,16.1907300202691
116,31.0594833333333,11.55,148.666666666667,16.4391622227749
117,29.7221833333333,10.7833333333333,25,15.6542675026225
118,28.2524666666667,9.76666666666667,0,16.7626593563571
119,26.8331,9.3,0,16.1683857913048
120,25.4369666666667,8.75,0,15.6744048087258
121,24.4847666666667,8.4,0,15.3049290027411
122,23.5753333333333,7.9,0,15.4447038453741
123,22.6391,7.61666666666667,0,14.8486078706712
124,21.8727166666667,7.25,0,15.4101395390029
125,21.15515,6.85,0,15.4217465294426
126,20.4961666666667,6.61666666666667,0,16.1477795397913
127,19.8285833333333,6.5,17.8333333333333,19.239080649755
128,20.6666166666667,6.96666666666667,126,24.4686079536548
129,23.8625333333333,8.03333333333333,273,24.2665389298711
130,25.9787166666667,9.41666666666667,409.666666666667,23.5789238916549
131,28.2083666666667,9.73333333333333,248.5,24.096876707334
132,29.6831,11.3833333333333,604.5,24.5183524973825
133,32.10005,12.85,705.5,24.2500841319275
134,33.9920166666667,14.3833333333333,727.166666666667,25.1698485912613
135,36.1590833333333,15.5833333333333,692,24.794862902724
136,37.6793666666667,16.15,639,23.0518323063946
137,37.4564,16.7166666666667,536.166666666667,15.2369225117409
138,35.78745,16.45,407.5,15.1831117708698
139,34.3371166666667,16.2833333333333,271.833333333333,16.2141967324075
140,32.6124166666667,15.3,130.333333333333,15.9857223315735
141,30.9563833333333,13.5333333333333,20.5,15.7999523942954
142,29.7053166666667,11.9166666666667,0,16.436318383764
143,28.6930166666667,10.8166666666667,0,16.4220117445811
144,27.7202333333333,10.6,0,15.8547274252864
145,26.7661166666667,10.25,0,15.2994346752136
146,25.80875,9.83333333333333,0,15.2688956851439
147,25.15855,9.53333333333333,0,15.258658173749
148,24.4243333333333,9.06666666666667,0,15.7572286134503
149,23.6266666666667,8.46666666666667,0,15.2899961877594
150,23.0583833333333,8.38333333333333,0,15.5558017291147
151,22.4408166666667,7.91666666666667,17.1666666666667,18.889387635971
152,23.8563,8.11666666666667,105.166666666667,24.1739043587361
153,27.6818333333333,9.78333333333333,269.166666666667,24.5020182622656
154,31.33465,11.6666666666667,427.333333333333,23.6413482378743
155,32.9895333333333,13.3666666666667,558.333333333333,24.3471283603008
156,35.8136333333333,14.3,658,24.5200046441729
157,36.9461333333333,15.4833333333333,720.5,24.1072270770665
158,36.2344,16.5,742.333333333333,19.591520332384
159,34.8395,17.2333333333333,719.833333333333,15.374044020699
160,34.537,17.4666666666667,662.333333333333,15.5016461896797
161,35.2677333333333,17.15,568,14.4820614795477
162,34.4629666666667,16.6333333333333,446.333333333333,14.9051585502622
163,33.0492333333333,15.6666666666667,308.833333333333,15.3504437010669
164,31.5101833333333,14.35,157.5,16.0006430428817
165,30.03776,12.1666666666667,29,16.0059372097824
166,28.53045,10.2833333333333,0,16.4279826078704
167,27.11866,8.7,0,16.3702921532774
168,25.9567166666667,7.6,0,16.0077129090884
